[iView]
Converted from: NA
Date: NA
Version:	IDF Event Detector 3.0.20
Sample Rate:	30
Subject: NA
Description:	description info                                                                                                                                                                                                                                                

Table Header for Fixations:
Event Type	Trial	Number	Start	End	Duration	Location X	Location Y	Dispersion X	Dispersion Y	Plane	Avg. Pupil Size X	Avg Pupil Size Y

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Table Header for Blinks:
Event Type	Trial	Number	Start	End	Duration

Table Header for User Events:
Event Type	Trial	Number	Start	Description

Table Header for Trigger Line Events:
Event Type	Trial	Number	Start	Duration	Port Status

Fixation L	1	66	1123029299	1123762554	733255	713.77	403.35	26	19	-1	11.84	11.84
Saccade L	1	65	1123762554	1123795887	33333	699.32	414.44	693.25	414.81	0.06	3.38	1.00	1.75	24.81	-45.70	30.14
Fixation L	1	67	1123795887	1126695557	2899670	679.39	401.02	21	28	-1	11.63	11.63
Saccade L	1	66	1126695557	1126728928	33371	672.03	397.55	669.94	398.75	0.04	1.80	1.00	1.19	17.08	-12.25	11.78
Fixation L	1	68	1126728928	1129128627	2399699	679.77	398.48	22	25	-1	11.50	11.50
Saccade L	1	67	1129128627	1129161949	33322	687.05	400.12	692.80	400.34	0.11	4.54	1.00	3.35	48.62	-20.05	37.29
Fixation L	1	69	1129161949	1130261835	1099886	685.94	397.54	15	8	-1	10.69	10.69
Blink L	1	8	1130295153	1130395152	99999
Fixation L	1	70	1130395152	1130828431	433279	679.98	405.59	6	39	-1	10.80	10.80
Saccade L	1	68	1130828431	1130861800	33369	678.34	427.28	679.76	431.74	0.06	2.60	1.00	1.90	11.63	-11.14	8.98
Fixation L	1	71	1130861800	1131428370	566570	682.34	440.78	8	39	-1	11.02	11.02
Saccade L	1	69	1131428370	1131461708	33338	682.58	413.00	681.27	407.34	0.15	7.83	1.00	4.63	27.16	-68.97	39.16
Fixation L	1	72	1131461708	1134494690	3032982	686.33	388.87	20	28	-1	11.51	11.51
Saccade L	1	70	1134494690	1134528026	33336	695.32	398.43	697.23	399.18	0.03	1.14	1.00	0.94	5.72	3.79	4.93
Fixation L	1	73	1134528026	1140294041	5766015	687.27	389.90	27	22	-1	11.46	11.46
Saccade L	1	71	1140294041	1140327383	33342	676.96	379.49	678.99	378.59	0.02	1.24	1.00	0.72	3.35	-1.84	2.31
Fixation L	1	74	1140327383	1141927222	1599839	688.50	388.88	22	25	-1	11.71	11.71
Saccade L	1	72	1141927222	1141960533	33311	688.24	396.01	658.71	397.91	0.17	16.47	1.00	5.11	233.99	-150.89	138.46
Fixation L	1	75	1141960533	1143660349	1699816	672.28	396.60	32	17	-1	12.83	12.83
Saccade L	1	73	1143660349	1143826985	166636	684.11	387.80	679.46	379.81	3.13	38.50	0.80	18.80	511.62	-499.68	292.78
